최길하	72	68	78	94
최섭사	96	65	80	70
정가윤	66	84	68	71
유자자	82	67	98	83
적형화	100	83	98	76
오타진	84	81	72	91
고라석	91	97	89	74
고사차	100	93	98	92
손다진	84	82	65	73
박타바	97	72	70	68
곽파하	79	91	99	82
손아마	92	92	80	65
박하자	89	81	99	69
고윤아	84	67	84	80
오사라	94	69	78	99
박라마	100	93	65	84
박나라	69	78	92	88
유하타	88	77	94	78
오카화	67	99	76	85
손파하	98	75	65	71
이파화	75	93	69	82
강바화	98	66	97	71
정차진	90	76	85	66
곽가자	88	78	69	85
김가사	78	82	98	84
곽석바	80	66	76	65
김하자	69	68	86	76
최석재	83	79	100	66
정카다	65	91	88	82
오다준	96	90	87	88
정준길	67	86	67	84
손길길	71	98	89	75
송형아	99	89	99	69
유섭재	66	94	88	85
유형진	95	68	67	67
유아준	68	67	70	71
구섭준	75	87	94	89
고사화	87	89	96	95
적윤가	91	86	90	75
박라바	97	65	84	79
송바차	95	79	77	74
류차마	92	99	86	88
유타진	80	95	91	67
유사바	98	86	78	97
고자진	94	91	90	69
적진진	68	86	81	67
최카재	84	83	66	100
곽바차	67	72	75	65
최길자	83	68	67	81
곽나마	81	80	80	67
정화다	97	68	93	77
류마나	98	85	73	71
송가바	85	99	83	84
손다카	90	99	72	99
유타재	72	67	65	80
박라재	67	82	73	69
최진하	96	100	72	97
유파아	72	66	85	85
손파다	70	67	82	85
고준나	91	99	74	91
강마사	78	76	81	100
이바파	78	85	82	84
적바바	89	93	92	70
구아라	89	85	70	96
구형재	77	95	98	71
오다라	74	96	78	77
박윤바	81	76	96	79
적가차	83	75	77	70
적차바	97	76	97	95
구윤카	77	66	78	97
오섭진	90	72	98	67
손다라	95	70	96	79
정차마	84	99	87	68
구가차	99	90	78	89
박형재	87	68	94	84
송다형	84	82	68	75
박마길	84	69	73	89
송길카	95	92	74	92
류나라	77	99	80	81
유다형	98	89	95	81
오하가	78	66	75	95
송차자	77	79	88	94
류라재	98	89	89	90
김바하	97	97	77	70
김나나	76	69	92	69
고하진	82	99	82	94
손마윤	94	67	92	89
김아라	94	86	87	84
고라재	72	99	87	67
구마하	87	65	97	78
적가섭	81	85	71	83
김아가	93	100	84	82
이석형	99	81	100	90
적바섭	73	68	100	100
최자다	88	79	91	78
고준화	70	69	94	77
박바섭	75	90	82	84
고차바	79	77	81	93
최형진	88	72	92	93
곽사가	67	95	98	75
